,Show,EpId,ClipId,Start,Stop,Prolongation,Block,Interjection,NoStutteredWords,Repetition,Non-Disfluency,Labels,Audio_name
36,HeStutters,0,36,27774880,27822880,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_36.wav
37,HeStutters,0,37,27813440,27861440,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_37.wav
38,HeStutters,0,38,29565600,29613600,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_38.wav
39,HeStutters,0,39,30011200,30059200,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_39.wav
40,HeStutters,1,0,2152480,2200480,0,0,0,0,1,0,Repetition,HeStutters_1_0.wav
41,HeStutters,1,1,27906400,27954400,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_1.wav
42,HeStutters,1,2,28160960,28208960,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_2.wav
43,HeStutters,1,3,28193760,28241760,0,0,1,0,0,0,Interjection,HeStutters_1_3.wav
44,HeStutters,1,4,28351360,28399360,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_4.wav
45,HeStutters,1,5,28390400,28438400,0,0,0,0,1,0,Repetition,HeStutters_1_5.wav
46,HeStutters,1,6,28443200,28491200,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_6.wav
47,HeStutters,1,7,28506080,28554080,0,0,0,0,1,0,Repetition,HeStutters_1_7.wav
48,HeStutters,1,8,28539840,28587840,0,0,0,0,1,0,Repetition,HeStutters_1_8.wav
49,HeStutters,1,9,29043360,29091360,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_9.wav
50,HeStutters,1,10,29077440,29125440,0,1,0,0,0,0,Block,HeStutters_1_10.wav
51,HeStutters,1,11,29396960,29444960,1,0,0,0,0,0,Prolongation,HeStutters_1_11.wav
52,HeStutters,1,12,29445280,29493280,0,0,0,0,1,0,Repetition,HeStutters_1_12.wav
53,HeStutters,1,13,29497920,29545920,0,1,0,1,1,1,"Block,NoStutteredWords,Repetition,Non-Disfluency",HeStutters_1_13.wav
54,HeStutters,1,14,29571040,29619040,1,0,1,0,0,0,"Prolongation,Interjection",HeStutters_1_14.wav
55,HeStutters,1,15,30017440,30065440,1,0,0,0,0,0,Prolongation,HeStutters_1_15.wav
56,HeStutters,1,16,30052800,30100800,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_16.wav
57,HeStutters,1,17,5026880,5074880,0,1,0,0,0,0,Block,HeStutters_1_17.wav
58,HeStutters,1,18,5063040,5111040,0,0,0,0,0,1,Non-Disfluency,HeStutters_1_18.wav
59,HeStutters,1,19,30230560,30278560,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_19.wav
60,HeStutters,1,20,30284320,30332320,0,0,0,0,1,0,Repetition,HeStutters_1_20.wav
61,HeStutters,1,21,30707360,30755360,0,0,0,0,0,1,Non-Disfluency,HeStutters_1_21.wav
62,HeStutters,1,22,30745440,30793440,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_22.wav
63,HeStutters,1,23,30771360,30819360,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_23.wav
64,HeStutters,1,24,30819840,30867840,0,0,1,0,0,0,Interjection,HeStutters_1_24.wav
65,HeStutters,1,25,30925120,30973120,1,0,0,1,0,0,"Prolongation,NoStutteredWords",HeStutters_1_25.wav
66,HeStutters,1,26,30961440,31009440,0,0,1,1,0,0,"Interjection,NoStutteredWords",HeStutters_1_26.wav
67,HeStutters,1,27,31099040,31147040,1,0,0,0,0,0,Prolongation,HeStutters_1_27.wav
68,HeStutters,1,28,31132480,31180480,0,0,1,1,0,0,"Interjection,NoStutteredWords",HeStutters_1_28.wav
69,HeStutters,1,29,31224160,31272160,1,0,0,0,0,0,Prolongation,HeStutters_1_29.wav
70,HeStutters,1,30,31286560,31334560,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_30.wav
71,HeStutters,1,31,31628960,31676960,1,1,0,1,0,1,"Prolongation,Block,NoStutteredWords,Non-Disfluency",HeStutters_1_31.wav
72,HeStutters,1,32,31661920,31709920,1,0,1,0,0,0,"Prolongation,Interjection",HeStutters_1_32.wav
73,HeStutters,1,33,31802080,31850080,0,0,0,0,1,0,Repetition,HeStutters_1_33.wav
74,HeStutters,1,34,31838240,31886240,0,0,1,1,1,1,"Interjection,NoStutteredWords,Repetition,Non-Disfluency",HeStutters_1_34.wav
75,HeStutters,1,35,31881600,31929600,0,0,0,0,1,0,Repetition,HeStutters_1_35.wav
76,HeStutters,1,36,31917440,31965440,0,0,1,0,0,0,Interjection,HeStutters_1_36.wav
77,HeStutters,1,37,5095680,5143680,0,0,0,0,1,0,Repetition,HeStutters_1_37.wav
78,HeStutters,1,38,31963680,32011680,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_38.wav
79,HeStutters,1,39,32034720,32082720,0,0,1,0,0,0,Interjection,HeStutters_1_39.wav
80,HeStutters,1,40,32086560,32134560,1,0,0,0,0,1,"Prolongation,Non-Disfluency",HeStutters_1_40.wav
81,HeStutters,1,41,32346240,32394240,1,0,0,0,0,0,Prolongation,HeStutters_1_41.wav
82,HeStutters,1,42,32392000,32440000,0,0,0,0,1,0,Repetition,HeStutters_1_42.wav
83,HeStutters,1,43,32695840,32743840,0,0,1,0,0,0,Interjection,HeStutters_1_43.wav
84,HeStutters,1,44,32728480,32776480,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_44.wav
85,HeStutters,1,45,32800640,32848640,0,0,0,0,1,0,Repetition,HeStutters_1_45.wav
86,HeStutters,1,46,32841920,32889920,0,1,0,0,1,0,"Block,Repetition",HeStutters_1_46.wav
87,HeStutters,1,47,33042240,33090240,0,0,0,1,0,1,"NoStutteredWords,Non-Disfluency",HeStutters_1_47.wav
88,HeStutters,1,48,33092160,33140160,1,0,1,0,1,1,"Prolongation,Interjection,Repetition,Non-Disfluency",HeStutters_1_48.wav
89,HeStutters,1,49,33136160,33184160,0,1,0,0,1,0,"Block,Repetition",HeStutters_1_49.wav
90,HeStutters,1,50,33175200,33223200,0,0,0,0,1,1,"Repetition,Non-Disfluency",HeStutters_1_50.wav
91,HeStutters,1,51,33325280,33373280,0,0,0,0,1,0,Repetition,HeStutters_1_51.wav
92,HeStutters,1,52,33372160,33420160,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_52.wav
93,HeStutters,1,53,34068000,34116000,1,1,0,0,0,0,"Prolongation,Block",HeStutters_1_53.wav
94,HeStutters,1,54,34100800,34148800,1,0,0,0,0,0,Prolongation,HeStutters_1_54.wav
95,HeStutters,1,55,34145280,34193280,0,0,0,1,0,1,"NoStutteredWords,Non-Disfluency",HeStutters_1_55.wav
96,HeStutters,1,56,34184480,34232480,0,0,0,0,1,0,Repetition,HeStutters_1_56.wav
97,HeStutters,1,57,5247680,5295680,0,0,0,0,1,0,Repetition,HeStutters_1_57.wav
98,HeStutters,1,58,5284000,5332000,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_58.wav
99,HeStutters,1,59,34259040,34307040,0,0,1,1,0,0,"Interjection,NoStutteredWords",HeStutters_1_59.wav
100,HeStutters,1,60,34295840,34343840,0,0,0,0,1,0,Repetition,HeStutters_1_60.wav
101,HeStutters,1,61,34837280,34885280,0,0,0,0,1,0,Repetition,HeStutters_1_61.wav
102,HeStutters,1,62,34880640,34928640,0,1,0,0,0,1,"Block,Non-Disfluency",HeStutters_1_62.wav
103,HeStutters,1,63,34995840,35043840,1,0,0,0,0,0,Prolongation,HeStutters_1_63.wav
104,HeStutters,1,64,35047520,35095520,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_64.wav
105,HeStutters,1,65,35435840,35483840,0,0,0,0,1,0,Repetition,HeStutters_1_65.wav
106,HeStutters,1,66,35470560,35518560,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_66.wav
107,HeStutters,1,67,35897120,35945120,0,0,0,0,1,0,Repetition,HeStutters_1_67.wav
108,HeStutters,1,68,35930720,35978720,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_68.wav
109,HeStutters,1,69,36596000,36644000,0,0,1,1,0,0,"Interjection,NoStutteredWords",HeStutters_1_69.wav
110,HeStutters,1,70,36630240,36678240,0,0,1,0,0,0,Interjection,HeStutters_1_70.wav
111,HeStutters,1,71,37078240,37126240,0,0,0,0,1,0,Repetition,HeStutters_1_71.wav
112,HeStutters,1,72,37112320,37160320,1,0,0,0,0,0,Prolongation,HeStutters_1_72.wav
113,HeStutters,1,73,37220480,37268480,0,1,0,1,1,1,"Block,NoStutteredWords,Repetition,Non-Disfluency",HeStutters_1_73.wav
114,HeStutters,1,74,37266560,37314560,0,0,0,0,0,1,Non-Disfluency,HeStutters_1_74.wav
115,HeStutters,1,75,37930720,37978720,0,1,0,0,0,0,Block,HeStutters_1_75.wav
116,HeStutters,1,76,37967840,38015840,0,0,1,0,0,0,Interjection,HeStutters_1_76.wav
117,HeStutters,1,77,38740320,38788320,0,1,0,0,0,0,Block,HeStutters_1_77.wav
118,HeStutters,1,78,38775520,38823520,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_78.wav
119,HeStutters,1,79,5950880,5998880,0,0,0,1,0,1,"NoStutteredWords,Non-Disfluency",HeStutters_1_79.wav
120,HeStutters,1,80,6016640,6064640,0,0,0,0,1,0,Repetition,HeStutters_1_80.wav
121,HeStutters,1,81,38885920,38933920,1,1,1,0,1,1,"Prolongation,Block,Interjection,Repetition,Non-Disfluency",HeStutters_1_81.wav
122,HeStutters,1,82,38922880,38970880,1,1,0,0,1,0,"Prolongation,Block,Repetition",HeStutters_1_82.wav
123,HeStutters,1,83,38993440,39041440,0,0,0,1,0,1,"NoStutteredWords,Non-Disfluency",HeStutters_1_83.wav
124,HeStutters,1,84,39042720,39090720,0,0,0,0,0,1,Non-Disfluency,HeStutters_1_84.wav
125,HeStutters,1,85,39087040,39135040,0,0,0,0,1,0,Repetition,HeStutters_1_85.wav
126,HeStutters,1,86,39507680,39555680,1,0,0,0,0,0,Prolongation,HeStutters_1_86.wav
127,HeStutters,1,87,39564320,39612320,0,1,0,0,0,0,Block,HeStutters_1_87.wav
128,HeStutters,1,88,39631040,39679040,0,0,0,0,1,0,Repetition,HeStutters_1_88.wav
129,HeStutters,1,89,39713600,39761600,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_89.wav
130,HeStutters,1,90,39763040,39811040,0,0,0,0,0,1,Non-Disfluency,HeStutters_1_90.wav
131,HeStutters,1,91,39817440,39865440,1,0,0,0,0,0,Prolongation,HeStutters_1_91.wav
132,HeStutters,1,92,39910240,39958240,0,1,0,1,1,1,"Block,NoStutteredWords,Repetition,Non-Disfluency",HeStutters_1_92.wav
133,HeStutters,1,93,39942720,39990720,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_93.wav
134,HeStutters,1,94,39987680,40035680,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_94.wav
135,HeStutters,1,95,40041440,40089440,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_95.wav
136,HeStutters,1,96,6270720,6318720,0,0,0,0,1,0,Repetition,HeStutters_1_96.wav
137,HeStutters,1,97,6303360,6351360,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_97.wav
138,HeStutters,1,98,40073280,40121280,0,0,0,0,1,0,Repetition,HeStutters_1_98.wav
139,HeStutters,1,99,40635200,40683200,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_99.wav
140,HeStutters,1,100,40669920,40717920,0,0,0,0,1,0,Repetition,HeStutters_1_100.wav
141,HeStutters,1,101,40904160,40952160,1,0,0,0,0,0,Prolongation,HeStutters_1_101.wav
142,HeStutters,1,102,40941760,40989760,0,0,0,0,0,1,Non-Disfluency,HeStutters_1_102.wav
143,HeStutters,1,103,41236960,41284960,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_103.wav
144,HeStutters,1,104,41306560,41354560,0,0,0,0,1,0,Repetition,HeStutters_1_104.wav
145,HeStutters,1,105,6492320,6540320,0,0,0,0,1,0,Repetition,HeStutters_1_105.wav
146,HeStutters,1,106,6530560,6578560,0,1,0,0,0,1,"Block,Non-Disfluency",HeStutters_1_106.wav
147,HeStutters,1,107,6638560,6686560,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_107.wav
148,HeStutters,1,108,6675360,6723360,1,1,0,1,0,1,"Prolongation,Block,NoStutteredWords,Non-Disfluency",HeStutters_1_108.wav
149,HeStutters,1,109,6978880,7026880,0,0,1,0,0,0,Interjection,HeStutters_1_109.wav
150,HeStutters,1,110,7013120,7061120,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_110.wav
151,HeStutters,1,111,7108160,7156160,0,0,1,1,0,0,"Interjection,NoStutteredWords",HeStutters_1_111.wav
152,HeStutters,1,112,7141120,7189120,1,0,0,0,0,0,Prolongation,HeStutters_1_112.wav
153,HeStutters,1,113,7456800,7504800,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_113.wav
154,HeStutters,1,114,7494880,7542880,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_114.wav
155,HeStutters,1,115,2648640,2696640,0,0,0,0,1,0,Repetition,HeStutters_1_115.wav
156,HeStutters,1,116,2704800,2752800,1,0,0,0,1,0,"Prolongation,Repetition",HeStutters_1_116.wav
157,HeStutters,1,117,7921280,7969280,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_117.wav
158,HeStutters,1,118,7956000,8004000,0,0,1,0,0,0,Interjection,HeStutters_1_118.wav
159,HeStutters,1,119,8123040,8171040,0,0,0,1,0,1,"NoStutteredWords,Non-Disfluency",HeStutters_1_119.wav
160,HeStutters,1,120,8170240,8218240,0,0,0,0,1,0,Repetition,HeStutters_1_120.wav
161,HeStutters,1,121,8976480,9024480,0,0,1,1,0,0,"Interjection,NoStutteredWords",HeStutters_1_121.wav
162,HeStutters,1,122,9014560,9062560,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_122.wav
163,HeStutters,1,123,9140640,9188640,0,0,0,1,0,1,"NoStutteredWords,Non-Disfluency",HeStutters_1_123.wav
164,HeStutters,1,124,9187840,9235840,0,0,0,1,0,1,"NoStutteredWords,Non-Disfluency",HeStutters_1_124.wav
165,HeStutters,1,125,9227520,9275520,0,1,0,0,1,0,"Block,Repetition",HeStutters_1_125.wav
166,HeStutters,1,126,9375360,9423360,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_126.wav
167,HeStutters,1,127,9410720,9458720,0,0,0,0,1,0,Repetition,HeStutters_1_127.wav
168,HeStutters,1,128,9708320,9756320,1,1,0,1,0,1,"Prolongation,Block,NoStutteredWords,Non-Disfluency",HeStutters_1_128.wav
169,HeStutters,1,129,9746240,9794240,1,1,0,0,1,1,"Prolongation,Block,Repetition,Non-Disfluency",HeStutters_1_129.wav
170,HeStutters,1,130,10119040,10167040,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_130.wav
171,HeStutters,1,131,10160800,10208800,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_131.wav
172,HeStutters,1,132,10280320,10328320,0,1,0,0,0,0,Block,HeStutters_1_132.wav
173,HeStutters,1,133,10518720,10566720,0,1,0,0,0,0,Block,HeStutters_1_133.wav
174,HeStutters,1,134,10564160,10612160,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_134.wav
175,HeStutters,1,135,2934400,2982400,0,0,1,0,0,0,Interjection,HeStutters_1_135.wav
176,HeStutters,1,136,2978720,3026720,0,1,0,1,0,1,"Block,NoStutteredWords,Non-Disfluency",HeStutters_1_136.wav
177,HeStutters,1,137,12466240,12514240,1,0,0,0,1,0,"Prolongation,Repetition",HeStutters_1_137.wav
178,HeStutters,1,138,12512000,12560000,0,0,0,0,0,1,Non-Disfluency,HeStutters_1_138.wav
179,HeStutters,1,139,12786880,12834880,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_139.wav
180,HeStutters,1,140,12821920,12869920,1,0,0,1,0,0,"Prolongation,NoStutteredWords",HeStutters_1_140.wav
181,HeStutters,1,141,12866400,12914400,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_141.wav
182,HeStutters,1,142,12901440,12949440,1,1,0,1,0,0,"Prolongation,Block,NoStutteredWords",HeStutters_1_142.wav
183,HeStutters,1,143,12980800,13028800,0,0,1,0,0,0,Interjection,HeStutters_1_143.wav
184,HeStutters,1,144,13032640,13080640,1,0,0,0,0,0,Prolongation,HeStutters_1_144.wav
185,HeStutters,1,145,13221920,13269920,0,0,0,0,0,1,Non-Disfluency,HeStutters_1_145.wav
186,HeStutters,1,146,13257920,13305920,0,0,0,0,1,1,"Repetition,Non-Disfluency",HeStutters_1_146.wav
187,HeStutters,1,147,14344000,14392000,0,1,0,0,1,0,"Block,Repetition",HeStutters_1_147.wav
188,HeStutters,1,148,14402080,14450080,1,0,0,0,0,0,Prolongation,HeStutters_1_148.wav
189,HeStutters,1,149,14726400,14774400,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_149.wav
190,HeStutters,1,150,14758560,14806560,0,1,0,0,0,0,Block,HeStutters_1_150.wav
191,HeStutters,1,151,14783360,14831360,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_151.wav
192,HeStutters,1,152,14980640,15028640,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_152.wav
193,HeStutters,1,153,15015200,15063200,0,0,0,1,0,1,"NoStutteredWords,Non-Disfluency",HeStutters_1_153.wav
194,HeStutters,1,154,15070560,15118560,1,1,0,1,1,1,"Prolongation,Block,NoStutteredWords,Repetition,Non-Disfluency",HeStutters_1_154.wav
195,HeStutters,1,155,15124320,15172320,0,0,0,0,1,0,Repetition,HeStutters_1_155.wav
196,HeStutters,1,156,3482240,3530240,1,1,0,0,1,0,"Prolongation,Block,Repetition",HeStutters_1_156.wav
197,HeStutters,1,157,3516640,3564640,0,1,0,0,1,0,"Block,Repetition",HeStutters_1_157.wav
198,HeStutters,1,158,15173440,15221440,0,0,0,0,1,0,Repetition,HeStutters_1_158.wav
199,HeStutters,1,159,15205760,15253760,1,1,0,0,0,0,"Prolongation,Block",HeStutters_1_159.wav
200,HeStutters,1,160,15252000,15300000,1,1,0,0,0,0,"Prolongation,Block",HeStutters_1_160.wav
201,HeStutters,1,161,15289600,15337600,1,0,0,0,0,0,Prolongation,HeStutters_1_161.wav
202,HeStutters,1,162,15335200,15383200,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_162.wav
203,HeStutters,1,163,15381440,15429440,0,0,0,0,1,0,Repetition,HeStutters_1_163.wav
204,HeStutters,1,164,16015840,16063840,0,1,0,0,0,0,Block,HeStutters_1_164.wav
205,HeStutters,1,165,16053120,16101120,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_165.wav
206,HeStutters,1,166,16190400,16238400,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_166.wav
207,HeStutters,1,167,16223360,16271360,0,0,0,0,1,0,Repetition,HeStutters_1_167.wav
208,HeStutters,1,168,16315520,16363520,1,0,1,0,0,0,"Prolongation,Interjection",HeStutters_1_168.wav
209,HeStutters,1,169,16348960,16396960,1,1,0,0,0,0,"Prolongation,Block",HeStutters_1_169.wav
210,HeStutters,1,170,16463200,16511200,0,1,0,0,0,0,Block,HeStutters_1_170.wav
211,HeStutters,1,171,16502400,16550400,0,0,0,1,0,1,"NoStutteredWords,Non-Disfluency",HeStutters_1_171.wav
212,HeStutters,1,172,16672480,16720480,0,0,1,0,1,0,"Interjection,Repetition",HeStutters_1_172.wav
213,HeStutters,1,173,16733760,16781760,0,0,0,0,0,1,Non-Disfluency,HeStutters_1_173.wav
214,HeStutters,1,174,16794080,16842080,0,0,0,1,0,1,"NoStutteredWords,Non-Disfluency",HeStutters_1_174.wav
215,HeStutters,1,175,16834720,16882720,0,0,0,0,1,0,Repetition,HeStutters_1_175.wav
216,HeStutters,1,176,3907040,3955040,0,0,0,1,0,1,"NoStutteredWords,Non-Disfluency",HeStutters_1_176.wav
217,HeStutters,1,177,3944320,3992320,0,1,0,1,1,1,"Block,NoStutteredWords,Repetition,Non-Disfluency",HeStutters_1_177.wav
218,HeStutters,1,178,16874240,16922240,0,0,1,1,0,0,"Interjection,NoStutteredWords",HeStutters_1_178.wav
219,HeStutters,1,179,16914400,16962400,0,1,0,0,0,0,Block,HeStutters_1_179.wav
220,HeStutters,1,180,16963680,17011680,1,0,0,0,0,0,Prolongation,HeStutters_1_180.wav
221,HeStutters,1,181,17010720,17058720,0,0,0,0,1,0,Repetition,HeStutters_1_181.wav
222,HeStutters,1,182,17043200,17091200,1,0,0,0,0,0,Prolongation,HeStutters_1_182.wav
223,HeStutters,1,183,17106400,17154400,0,1,0,0,1,0,"Block,Repetition",HeStutters_1_183.wav
224,HeStutters,1,184,17369120,17417120,0,1,0,0,0,0,Block,HeStutters_1_184.wav
225,HeStutters,1,185,17402400,17450400,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_185.wav
226,HeStutters,1,186,17453920,17501920,0,0,0,0,1,0,Repetition,HeStutters_1_186.wav
227,HeStutters,1,187,17499040,17547040,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_187.wav
228,HeStutters,1,188,17666080,17714080,1,0,0,0,0,0,Prolongation,HeStutters_1_188.wav
229,HeStutters,1,189,17700640,17748640,0,1,0,0,0,0,Block,HeStutters_1_189.wav
230,HeStutters,1,190,17865440,17913440,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_190.wav
231,HeStutters,1,191,17900000,17948000,1,0,0,0,0,0,Prolongation,HeStutters_1_191.wav
232,HeStutters,1,192,17972960,18020960,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_192.wav
233,HeStutters,1,193,18006240,18054240,0,0,0,0,1,0,Repetition,HeStutters_1_193.wav
234,HeStutters,1,194,3995680,4043680,0,0,0,0,1,0,Repetition,HeStutters_1_194.wav
235,HeStutters,1,195,4043360,4091360,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_195.wav
236,HeStutters,1,196,18749120,18797120,1,1,0,1,0,1,"Prolongation,Block,NoStutteredWords,Non-Disfluency",HeStutters_1_196.wav
237,HeStutters,1,197,18789600,18837600,0,0,0,1,0,1,"NoStutteredWords,Non-Disfluency",HeStutters_1_197.wav
238,HeStutters,1,198,19098880,19146880,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_198.wav
239,HeStutters,1,199,19138080,19186080,0,0,0,1,0,0,NoStutteredWords,HeStutters_1_199.wav
240,HeStutters,1,200,19231360,19279360,1,1,0,1,0,0,"Prolongation,Block,NoStutteredWords",HeStutters_1_200.wav
241,HeStutters,1,201,19308960,19356960,0,1,0,0,0,0,Block,HeStutters_1_201.wav
242,HeStutters,1,202,19786720,19834720,1,0,0,0,1,0,"Prolongation,Repetition",HeStutters_1_202.wav
243,HeStutters,1,203,19823040,19871040,0,0,0,0,0,1,Non-Disfluency,HeStutters_1_203.wav
244,HeStutters,1,204,19858560,19906560,1,0,0,0,0,1,"Prolongation,Non-Disfluency",HeStutters_1_204.wav
245,HeStutters,1,205,20301280,20349280,0,0,0,0,1,0,Repetition,HeStutters_1_205.wav
246,HeStutters,1,206,20360480,20408480,0,1,0,0,0,0,Block,HeStutters_1_206.wav
247,HeStutters,1,207,20414720,20462720,0,0,0,0,1,0,Repetition,HeStutters_1_207.wav
248,HeStutters,1,208,20455680,20503680,0,0,0,1,0,1,"NoStutteredWords,Non-Disfluency",HeStutters_1_208.wav
249,HeStutters,1,209,20511200,20559200,0,0,0,0,1,0,Repetition,HeStutters_1_209.wav
250,HeStutters,1,210,20727200,20775200,0,0,0,0,1,0,Repetition,HeStutters_1_210.wav
251,HeStutters,1,211,20761440,20809440,1,0,0,0,0,0,Prolongation,HeStutters_1_211.wav
252,HeStutters,1,212,20840160,20888160,0,1,0,0,0,1,"Block,Non-Disfluency",HeStutters_1_212.wav
